year,album name,artist,status
2010,The Suburbs,Arcade Fire,Winner
2010,Recovery,Eminem,Nominee
2010,Teenage Dream,Katy Perry,Nominee
2010,The Fame Monster,Lady Gaga,Nominee
2010,Need You Now,Lady Antebellum,Nominee
2011,21,Adele,Winner
2011,Born This Way,Lady Gaga,Nominee
2011,Doo-Wops & Hooligans,Bruno Mars,Nominee
2011,Loud,Rihanna,Nominee
2011,Wasting Light,Foo Fighters,Nominee
2012,Babel,Mumford & Sons,Winner
2012,Blunderbuss,Jack White,Nominee
2012,Channel Orange,Frank Ocean,Nominee
2012,El Camino,The Black Keys,Nominee
2012,Some Nights,Fun.,Nominee
2013,Random Access Memories,Daft Punk,Winner
2013,The Blessed Unrest,Sara Bareilles,Nominee
2013,"Good Kid, M.A.A.D City",Kendrick Lamar,Nominee
2013,The Heist,Macklemore & Ryan Lewis,Nominee
2013,Red,Taylor Swift,Nominee
2014,Morning Phase,Beck,Winner
2014,Beyoncé,Beyoncé,Nominee
2014,Girl,Pharrell Williams,Nominee
2014,In the Lonely Hour,Sam Smith,Nominee
2014,x,Ed Sheeran,Nominee
2015,1989,Taylor Swift,Winner
2015,Beauty Behind the Madness,The Weeknd,Nominee
2015,Sound & Color,Alabama Shakes,Nominee
2015,To Pimp a Butterfly,Kendrick Lamar,Nominee
2015,Traveller,Chris Stapleton,Nominee
2016,25,Adele,Winner
2016,Lemonade,Beyoncé,Nominee
2016,Purpose,Justin Bieber,Nominee
2016,A Sailor's Guide to Earth,Sturgill Simpson,Nominee
2016,Views,Drake,Nominee
2017,24K Magic,Bruno Mars,Winner
2017,"""Awaken, My Love!""",Childish Gambino,Nominee
2017,DAMN.,Kendrick Lamar,Nominee
2017,4:44,Jay-Z,Nominee
2017,Melodrama,Lorde,Nominee
2018,Golden Hour,Kacey Musgraves,Winner
2018,Beerbongs & Bentleys,Post Malone,Nominee
2018,"Black Panther: The Album, Music from and Inspired By",Various Artists,Nominee
2018,"By the Way, I Forgive You",Brandi Carlile,Nominee
2018,Dirty Computer,Janelle Monáe,Nominee
2018,H.E.R.,H.E.R.,Nominee
2018,Invasion of Privacy,Cardi B,Nominee
2018,Scorpion,Drake,Nominee
2019,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,Winner
2019,Cuz I Love You (Deluxe),Lizzo,Nominee
2019,Father of the Bride,Vampire Weekend,Nominee
2019,"I, I",Bon Iver,Nominee
2019,I Used to Know Her,H.E.R.,Nominee
2019,Norman Fucking Rockwell!,Lana Del Rey,Nominee
2019,7,Lil Nas X,Nominee
2019,"Thank U, Next",Ariana Grande,Nominee